product_name,brand,price,discount_price,img_url,quantity,category,sub_category,absolute_url
Processed Cheese Cubes - Made from Cow's Milk,D'Lecta,155.0,109.0,https://www.bigbasket.com/media/uploads/p/l/40189461_1-dlecta-cheese-cubes.jpg,200 g,"Bakery, Cakes & Dairy",Cheese,https://www.bigbasket.com/pd/40189461/dlecta-cheese-cubes-200-g-carton/
Awadhi Kadhai Chicken Masala,Keya,120.0,72.0,https://www.bigbasket.com/media/uploads/p/l/40158081_3-keya-awadhi-kadhai-chicken-masala.jpg,100 g,"Foodgrains, Oil & Masala",Blended Masalas,https://www.bigbasket.com/pd/40158081/keya-awadhi-kadhai-chicken-masala-100-g/
Awadhi Kadhai Chicken Masala,Keya,20.0,15.0,https://www.bigbasket.com/media/uploads/p/l/40208453_1-keya-awadhi-kadhai-chicken-masala.jpg,15 g,"Foodgrains, Oil & Masala",Blended Masalas,https://www.bigbasket.com/pd/40208453/keya-awadhi-kadhai-chicken-masala-15-g-pouch/
"Mouth Freshener/ Mukhwas - Nukkad Kesar Saunf Mix, Aromatic, After Meal Digestive",Tummy Pops,85.0,63.75,https://www.bigbasket.com/media/uploads/p/l/40240029_2-tuly-pops-mouth-freshener-mukhwas-nukkad-kesar-saunf-mix-aromatic-after-meal-digestive.jpg,90 g,"Foodgrains, Oil & Masala",Mukhwas,https://www.bigbasket.com/pd/40240029/tummy-pops-mouth-freshener-mukhwas-nukkad-kesar-saunf-mix-aromatic-after-meal-digestive-90-g/
Instant Dry Yeast Powder - Used Or Bread & Pizza,5:15PM,300.0,300.0,https://www.bigbasket.com/media/uploads/p/l/40243796_1-515pm-instant-dry-yeast-powder-used-or-bread-pizza.jpg,100 g,"Bakery, Cakes & Dairy",Gourmet Bread,https://www.bigbasket.com/pd/40243796/515pm-instant-dry-yeast-powder-used-or-bread-pizza-100-g/
"Gourmet Popcorn Kernels - Gluten Free, Fresh & Crunchy",5:15PM,295.0,195.0,https://www.bigbasket.com/media/uploads/p/l/40243803_1-515pm-gourmet-popcorn-kernels-gluten-free-fresh-crunchy.jpg,400 g,Gourmet & World Food,Roasted Seeds & Nuts,https://www.bigbasket.com/pd/40243803/515pm-gourmet-popcorn-kernels-gluten-free-fresh-crunchy-400-g/
Health Drink - Millet Vita,GoodDiet,99.0,59.0,https://www.bigbasket.com/media/uploads/p/l/40112443_8-gooddiet-health-drink-millet-vita.jpg,100 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112443/gooddiet-health-drink-millet-vita-100-g/
Little Millet Kesari Bath,GoodDiet,125.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40112450_8-gooddiet-breakfast-mix-little-millet-kesari-bath-halwa.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112450/gooddiet-breakfast-mix-little-millet-kesari-bath-halwa-200-g/
Oats Pongal,GoodDiet,125.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40112437_8-gooddiet-breakfast-mix-oats-pongal.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112437/gooddiet-breakfast-mix-oats-pongal-200-g/
Breakfast Mix - Kodo Millet Bisibele Bhath,GoodDiet,125.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40112442_8-gooddiet-breakfast-mix-kodo-millet-bisibele-bhath.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112442/gooddiet-breakfast-mix-kodo-millet-bisibele-bhath-200-g/
Little Millet Pongal,GoodDiet,125.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40112449_8-gooddiet-breakfast-mix-little-millet-pongal.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112449/gooddiet-breakfast-mix-little-millet-pongal-200-g/
Little Millet Upma,GoodDiet,125.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40112448_8-gooddiet-breakfast-mix-little-millet-upma.jpg,200 g,Snacks & Branded Foods,Breakfast & Snack Mixes,https://www.bigbasket.com/pd/40112448/gooddiet-breakfast-mix-little-millet-upma-200-g/
"Pizarro - Pistachios, Roasted & Salted",BORGES,500.0,300.0,https://www.bigbasket.com/media/uploads/p/l/40238772_1-borges-pizarro-pistachios-roasted-salted.jpg,130 g,Gourmet & World Food,Dry Fruits & Berries,https://www.bigbasket.com/pd/40238772/borges-pizarro-pistachios-roasted-salted-130-g/
"Sharbat - Paan, Syrup",Gulabs,300.0,300.0,https://www.bigbasket.com/media/uploads/p/l/40132141_1-gulabs-sharbat-paan-syrup.jpg,500 ml,Beverages,Syrups & Concentrates,https://www.bigbasket.com/pd/40132141/gulabs-sharbat-paan-syrup-500-ml/
55% Dark Chocolate - Signature Blend Multi-Origin,Ambriona,250.0,250.0,https://www.bigbasket.com/media/uploads/p/l/40175262_5-ambriona-signature-blend-multi-origin-55-dark-chocolate.jpg,50 g,Gourmet & World Food,International Chocolates,https://www.bigbasket.com/pd/40175262/ambriona-signature-blend-multi-origin-55-dark-chocolate-50-g-box/
"Kolkata/Bengali Bhola Fish - Small Whole, Uncleaned",Fresho,332.0,239.0,https://www.bigbasket.com/media/uploads/p/l/40248649_2-fresho-bhola-fish-small-whole-uncleaned-fresh.jpg,500 g,"Eggs, Meat & Fish",Fresh Water Fish,https://www.bigbasket.com/pd/40248649/fresho-bhola-fish-small-whole-uncleaned-fresh-500-g/
"Kolkata/Bengali Foli Phouli Fish - Whole, Uncleaned",Fresho,277.0,199.0,https://www.bigbasket.com/media/uploads/p/l/40248652_2-fresho-folui-fish-whole-uncleaned-fresh-flavourful.jpg,500 g,"Eggs, Meat & Fish",Fresh Water Fish,https://www.bigbasket.com/pd/40248652/fresho-folui-fish-whole-uncleaned-fresh-flavourful-500-g/
"Kolkata/Bengali Japani Puti Fish - Whole, Uncleaned",Fresho,263.0,189.0,https://www.bigbasket.com/media/uploads/p/l/40248654_2-fresho-japani-puti-fish-whole-uncleaned-fresh.jpg,500 g,"Eggs, Meat & Fish",Fresh Water Fish,https://www.bigbasket.com/pd/40248654/fresho-japani-puti-fish-whole-uncleaned-fresh-500-g/
"Kolkata/Bengali Pakal Fish - Whole, Uncleaned",Fresho,722.0,519.0,https://www.bigbasket.com/media/uploads/p/l/40248655_2-fresho-pakal-fish-whole-uncleaned-fresh-succulent.jpg,500 g,"Eggs, Meat & Fish",Fresh Water Fish,https://www.bigbasket.com/pd/40248655/fresho-pakal-fish-whole-uncleaned-fresh-succulent-500-g/
